,Eigenvector,Betweenness,Community
Number of passenger per vehicle,0.004351162542245862,0.0,5
Number of people per household,0.004351162542245862,0.0,5
Oil consumption,0.300580933852248,0.07805588445735322,4
Oil demand (global),0.047009341073190124,0.0,7
Oil infrastructures development,0.032610317217235674,0.0,1
Oil prices (global),0.05543020071222776,0.025104920918874406,7
Oil sand production,0.1856875288846134,0.07384406390667574,7
Participatory planning,0.0029418414888807555,0.0,0
Participatory visioning,0.0029418414888807555,0.0,0
Population,0.032610317217235674,0.0,1
R&D funding from government,0.015695228185410567,0.0,1
Rail infrastrcuture,0.002885849424545677,0.0,3
Regulatory standard for green transport,0.005378287169092992,0.0,2
Renewable energy generation,0.060074367062072996,0.11628067883881837,0
Resilience of indigenous communities,0.011711669921060206,0.0,0
Rise of China and Asia,0.037825839179419264,0.0,1
Road infrastructure,0.0006437910867197874,0.0,0
Road speed limit,0.004351162542245862,0.0,5
Sectoral coordination,0.0551591523760584,0.10268336314847942,9
Shared mobility,0.07381115592500032,0.029850072408211952,5
Social acceptance,0.015090106646609178,0.0935217839869003,0
Solar power generation,0.004007515680690657,0.0,2
Solar power production cost,0.020556214429466018,0.04451845312310433,2
Sustainable social change,0.018266854258530137,0.0,8
Tech dev in articifical intelligence,0.03939364018729376,0.0,6
Tech dev in energy efficiency,0.015695228185410567,0.0,1
Tech dev in energy storage,0.18138705366808203,0.13629003461222655,6
Tech dev in green transport,0.13612925571026643,0.051149122526582276,2
Tech dev in green transport (rail),0.0005254909099575743,0.0,9
Tech dev in low carbon system,0.13528746679531298,0.056621187730311155,6
Tech dev in renewable energy,0.0180457657417597,0.07940831380902935,6
Tech investment,0.0025322030699071883,0.015384615384615385,2
Transition to decarbonized economy,0.09369368049600268,0.08237924865831842,8
Transport modal shift,0.009498842640419076,0.0,4
Travel and tourism services,0.018266854258530137,0.0,8
Trucking (heavy freight) load,0.27249606680650673,0.1901032208018367,3
USA Economy,0.11363787882830834,0.0033989266547406077,1
Urban green infrastructure,0.01377556821761794,0.0,5
Urbanization,0.004351162542245862,0.0,5
Use of electrical appliances,0.011866218291748833,0.010820910355794078,4
Waste to energy tech dev,0.021419324121863273,0.0,3
Wind power generation,0.01632461061851889,0.016759579782835606,0
Wind power production cost,0.022957458178574107,0.047891032309637004,2
Wooden buildings,0.0007729173014435201,0.015384615384615385,6
