node1,node2,color,report_name
Multilevel governance,Low carbon energy governance,orange,Reenergizing
Monitoring process,Low carbon energy governance,orange,Reenergizing
Participatory planning,Social acceptance,orange,Reenergizing
Participatory visioning,Social acceptance,orange,Reenergizing
Social acceptance,Renewable energy generation,orange,Reenergizing
Sustainable social change,Transition to decarbonized economy,orange,Reenergizing
Electrification of light freight transport,GHG Emissions (transport),orange,Reenergizing
Partnership with automotive industry,Tech dev in green transport (freight),orange,Reenergizing
Gov budget for energy transition,Tech dev in green transport (rail),orange,Reenergizing
Intercity (people) mobility,Rail infrastrcuture,orange,Reenergizing
Intercity (people) mobility,Electrification of rail transport,orange,Reenergizing
Adoption of EV,Tech dev in green transport,orange,Reenergizing
Tech dev in green transport,Emerging green transport businesses,orange,Reenergizing
Regulatory standard for green transport,Emerging green transport businesses,orange,Reenergizing
Shared mobility,GHG Emissions (transport),orange,Reenergizing
Shared mobility,Distance travel,orange,Reenergizing
Urbanization,Energy consumption,orange,Reenergizing
Urban green infrastructure,Energy consumption,orange,Reenergizing
Active mobility,Energy consumption,orange,Reenergizing
Urban green infrastructure,Active mobility,orange,Reenergizing
Wooden buildings,Carbon sink,orange,Reenergizing
Wooden buildings,GHG Emissions (building),orange,Reenergizing
District cooling/heating,GHG Emissions (building),orange,Reenergizing
Oil consumption,Health issues for indigenous communities,orange,Reenergizing
Renewable energy generation,Resilience of indigenous communities,orange,Reenergizing
Renewable energy generation,Employment for indigenous communities,orange,Reenergizing
Tech dev in low carbon system,Oil sand production,orange,Reenergizing
Tech dev in low carbon system,LNG production,orange,Reenergizing
Population (global),Mass consumption (global),purple,WEC
Labor force (global),Mass consumption (global),purple,WEC
Population (global),Growing middle class (global),purple,WEC
Labor force (global),Growing middle class (global),purple,WEC
Growing middle class (global),Energy intensity (global),purple,WEC
Rise of China and Asia,GDP (global),purple,WEC
Tech dev in ICT (global),Developing countries GDP,purple,WEC
Tech dev in ICT (global),Globalization,purple,WEC
Population (global),Energy demand (global),purple,WEC
GDP (global),Energy demand (global),purple,WEC
GDP,Energy demand,purple,WEC
Tech dev in low carbon system (global),Carbon intensity (global),purple,WEC
Energy value chain (global),Energy demand (global),purple,WEC
Environmental consciousness (global),Adoption of EV (global),purple,WEC
Environmental consciousness (global),Electrification of rail transport (global),purple,WEC
Environmental consciousness (global),Tech dev in green transport (global),purple,WEC
Adoption of EV (global),Electricity demand (global),purple,WEC
Environmental consciousness (global),Tech dev in energy efficiency (global),purple,WEC
Urbanization (global),Electricity demand (global),purple,WEC
Gasification of heavy freight transport (global),LNG demand (global),purple,WEC
Gasification of marine feeder transport (global),LNG demand (global),purple,WEC
Global environmental institution,Carbon intensity (global),purple,WEC
GHG reduction target,Carbon intensity (global),purple,WEC
Renewable energy generation (global),GHG Emissions (global),purple,WEC
Adoption of EV (global),GHG Emissions (global),purple,WEC
Carbon intensity (global),GHG Emissions (global),purple,WEC
Fuel switching (global),GHG Emissions (global),purple,WEC
Fuel switching (global),LNG demand (global),purple,WEC
Health risk awareness (global),Nuclear power generation (global),purple,WEC
Health risk awareness (global),Renewable energy generation (global),purple,WEC
Geopolitical tensions,GDP (global),purple,WEC
Geopolitical tensions,Oil prices (global),purple,WEC
Geopolitical tensions,LNG prices (global),purple,WEC
Geopolitical tensions,Globalization,purple,WEC
Global institutions,Geopolitical tensions,purple,WEC
Oil production (global),Oil demand (global),purple,WEC
Stability of Middle Eastern region,Geopolitical tensions,purple,WEC
Population (global),Labor force (global),purple,WEC
GDP (global),Energy demand (global),purple,WEC
Economic investment (global),Energy demand (global),purple,WEC
Mass consumption (global),Energy demand (global),purple,WEC
Rate of energy tech change (global),Energy production cost (global),purple,WEC
Tech dev in green transport (global),Innovation capacity (global),purple,WEC
Tech dev in low carbon system (global),Innovation capacity (global),purple,WEC
Tech dev in energy storage (global),Innovation capacity (global),purple,WEC
Tech dev in renewable energy (global),Innovation capacity (global),purple,WEC
Tech dev in machine learning (global),Innovation capacity (global),purple,WEC
Tech dev in data analytics (global),Innovation capacity (global),purple,WEC
Tech dev in articifical intelligence (global),Innovation capacity (global),purple,WEC
Tech dev in ICT (global),Innovation capacity (global),purple,WEC
Tech dev in energy efficiency (global),Innovation capacity (global),purple,WEC
Innovation capacity (global),Tech dev in green transport (global),purple,WEC
Innovation capacity (global),Tech dev in low carbon system (global),purple,WEC
Innovation capacity (global),Tech dev in energy storage (global),purple,WEC
Innovation capacity (global),Tech dev in renewable energy (global),purple,WEC
Innovation capacity (global),Tech dev in machine learning (global),purple,WEC
Innovation capacity (global),Tech dev in data analytics (global),purple,WEC
Innovation capacity (global),Tech dev in ICT (global),purple,WEC
Innovation capacity (global),Tech dev in energy efficiency (global),purple,WEC
Environmental consciousness (global),Global environmental institution,purple,WEC
Global environmental institution,GHG reduction target,purple,WEC
Rise of China and Asia,Tech investment (global),purple,WEC
Rise of China and Asia,Growing middle class (global),purple,WEC
Innovation capacity (global),Economic productivity (global),purple,WEC
Economic productivity (global),Labor force (global),purple,WEC
Labor force (global),Educational attainment (global),purple,WEC
Economic productivity (global),GDP (global),purple,WEC
Rate of energy tech change (global),GDP (global),purple,WEC
Innovation capacity (global),GDP (global),purple,WEC
Tech dev in ICT (global),Economic productivity (global),purple,WEC
Geopolitical tensions,GDP (global),purple,WEC
Geopolitical tensions,Technology transfer (global),purple,WEC
Environmental consciousness (global),Tech dev in low carbon system (global),purple,WEC
GDP (global),Tech investment (global),purple,WEC
Tech investment (global),Rate of energy tech change (global),purple,WEC
